STATION,LINENAME,DATE,HOUR,ENTRIES,EXITS,CROWD_LEVEL
R16,N,07/11/2025,2,189,131,2
R16,N,07/11/2025,3,154,156,3
R16,N,07/11/2025,4,204,156,3
R16,N,07/11/2025,5,114,138,3
R16,N,07/11/2025,6,192,94,3
R16,N,07/11/2025,7,837,449,3
R16,N,07/11/2025,8,823,486,4
R16,N,07/11/2025,9,750,471,3
R16,N,07/11/2025,10,546,410,3
R16,N,07/11/2025,11,460,398,2
R16,N,07/11/2025,12,526,378,3
R16,N,07/11/2025,13,523,410,3
R16,N,07/11/2025,14,479,385,3
R16,N,07/11/2025,15,507,378,3
R16,N,07/11/2025,16,524,430,5
R16,N,07/11/2025,17,473,769,3
R16,N,07/11/2025,18,514,838,4
R16,N,07/11/2025,19,445,766,3
R16,N,07/11/2025,20,127,126,3
R16,N,07/11/2025,21,150,125,3
R16,N,07/11/2025,22,181,141,3
R16,N,07/11/2025,23,177,156,3
R16,N,07/12/2025,0,156,122,5
R16,N,07/12/2025,1,123,88,2
R16,N,07/12/2025,2,144,138,3
R16,N,07/12/2025,3,187,145,3
R16,N,07/12/2025,4,194,162,3
R16,N,07/12/2025,5,171,121,3
R16,N,07/12/2025,6,125,100,1
R16,N,07/12/2025,7,768,480,3
R16,N,07/12/2025,8,792,511,4
R16,N,07/12/2025,9,806,470,3
R16,N,07/12/2025,10,462,362,3
R16,N,07/12/2025,11,513,430,3
R16,N,07/12/2025,12,470,419,4
R16,N,07/12/2025,13,452,409,3
R16,N,07/12/2025,14,456,416,2
R16,N,07/12/2025,15,536,440,3
R16,N,07/12/2025,16,502,437,2
R16,N,07/12/2025,17,512,815,4
R16,N,07/12/2025,18,478,793,3
R16,N,07/12/2025,19,502,818,4
R16,N,07/12/2025,20,138,92,2
R16,N,07/12/2025,21,172,140,5
R16,N,07/12/2025,22,115,104,2
R16,N,07/12/2025,23,132,121,3
R16,N,07/13/2025,0,139,97,2
R16,N,07/13/2025,1,173,120,3
R16,N,07/13/2025,2,135,111,3
R16,N,07/13/2025,3,114,104,2
R16,N,07/13/2025,4,174,111,3
R16,N,07/13/2025,5,171,109,3
R16,N,07/13/2025,6,189,89,3
R16,N,07/13/2025,7,790,507,3
R16,N,07/13/2025,8,845,474,4
R16,N,07/13/2025,9,774,457,3
R16,N,07/13/2025,10,527,395,4
R16,N,07/13/2025,11,458,433,3
R16,N,07/13/2025,12,519,434,3
R16,N,07/13/2025,13,454,439,2
R16,N,07/13/2025,14,479,374,2
R16,N,07/13/2025,15,547,360,3
R16,N,07/13/2025,16,501,386,3
R16,N,07/13/2025,17,483,799,3
R16,N,07/13/2025,18,467,811,3
R16,N,07/13/2025,19,456,792,4
R16,N,07/13/2025,20,195,114,3
R16,N,07/13/2025,21,177,158,3
R16,N,07/13/2025,22,133,102,2
R16,N,07/13/2025,23,133,128,3
R16,N,07/14/2025,0,125,150,3
R16,N,07/14/2025,1,178,91,3
R16,N,07/14/2025,2,159,97,3
R16,N,07/14/2025,3,189,117,3
R16,N,07/14/2025,4,189,167,3
R16,N,07/14/2025,5,198,152,3
R16,N,07/14/2025,6,169,112,3
R16,N,07/14/2025,7,759,477,4
R16,N,07/14/2025,8,808,519,4
R16,N,07/14/2025,9,763,454,3
R16,N,07/14/2025,10,498,388,3
R16,N,07/14/2025,11,531,407,5
R16,N,07/14/2025,12,495,402,3
R16,N,07/14/2025,13,477,420,3
R16,N,07/14/2025,14,541,433,4
R16,N,07/14/2025,15,482,363,3
R16,N,07/14/2025,16,463,410,3
R16,N,07/14/2025,17,512,772,3
R16,N,07/14/2025,18,477,804,3
R16,N,07/14/2025,19,480,822,4
R16,N,07/14/2025,20,174,145,5
R16,N,07/14/2025,21,179,91,3
R16,N,07/14/2025,22,169,128,3
R16,N,07/14/2025,23,130,146,4
R16,N,07/15/2025,0,130,138,3
R16,N,07/15/2025,1,127,151,3
R16,N,07/15/2025,2,185,132,3
R16,N,07/15/2025,3,112,157,3
R16,N,07/15/2025,4,171,121,3
R16,N,07/15/2025,5,203,125,5
R16,N,07/15/2025,6,132,118,3
R16,N,07/15/2025,7,834,485,4
R16,N,07/15/2025,8,773,453,3
R16,N,07/15/2025,9,814,515,4
R16,N,07/15/2025,10,480,363,3
R16,N,07/15/2025,11,528,384,5
R16,N,07/15/2025,12,493,379,4
R16,N,07/15/2025,13,492,436,4
R16,N,07/15/2025,14,545,400,3
R16,N,07/15/2025,15,492,414,3
R16,N,07/15/2025,16,518,364,3
R16,N,07/15/2025,17,487,786,3
R16,N,07/15/2025,18,499,799,3
R16,N,07/15/2025,19,464,808,3
R16,N,07/15/2025,20,121,145,3
R16,N,07/15/2025,21,168,162,3
R16,N,07/15/2025,22,183,110,3
R16,N,07/15/2025,23,174,141,3
R16,N,07/16/2025,0,177,166,3
R16,N,07/16/2025,1,165,111,5
R16,N,07/16/2025,2,141,139,3
R16,N,07/16/2025,3,182,122,3
R16,N,07/16/2025,4,157,112,3
R16,N,07/16/2025,5,128,122,3
R16,N,07/16/2025,6,143,101,3
R16,N,07/16/2025,7,807,469,4
R16,N,07/16/2025,8,810,492,4
R16,N,07/16/2025,9,839,457,3
R16,N,07/16/2025,10,454,398,4
R16,N,07/16/2025,11,464,415,3
R16,N,07/16/2025,12,520,411,3
R16,N,07/16/2025,13,544,395,2
R16,N,07/16/2025,14,533,389,3
R16,N,07/16/2025,15,548,422,3
R16,N,07/16/2025,16,475,422,3
R16,N,07/16/2025,17,527,840,3
R16,N,07/16/2025,18,527,787,5
R16,N,07/16/2025,19,457,834,3
R16,N,07/16/2025,20,169,160,3
R16,N,07/16/2025,21,147,140,3
R16,N,07/16/2025,22,125,132,3
R16,N,07/16/2025,23,161,159,3
R16,N,07/17/2025,0,137,117,3
R16,N,07/17/2025,1,186,100,3
R16,N,07/17/2025,2,153,133,3
R16,N,07/17/2025,3,164,132,3
R16,N,07/17/2025,4,146,106,3
R16,N,07/17/2025,5,159,94,3
R16,N,07/17/2025,6,127,158,3
R16,N,07/17/2025,7,850,458,4
R16,N,07/17/2025,8,797,465,3
R16,N,07/17/2025,9,764,449,3
R16,N,07/17/2025,10,489,438,3
R16,N,07/17/2025,11,520,387,3
R16,N,07/17/2025,12,528,408,3
R16,N,07/17/2025,13,504,413,4
R16,N,07/17/2025,14,463,396,3
R16,N,07/17/2025,15,480,360,4
R16,N,07/17/2025,16,451,402,5
R16,N,07/17/2025,17,481,788,4
R16,N,07/17/2025,18,446,798,3
R16,N,07/17/2025,19,473,808,3
R16,N,07/17/2025,20,123,101,2
R16,N,07/17/2025,21,147,107,3
R16,N,07/17/2025,22,202,107,3
R16,N,07/17/2025,23,168,145,3
R16,N,07/18/2025,0,210,129,3
R16,N,07/18/2025,1,176,141,3
R16,N,07/18/2025,2,135,153,3
R16,N,07/18/2025,3,164,143,3
R16,N,07/18/2025,4,198,147,3
R16,N,07/18/2025,5,113,108,2
R16,N,07/18/2025,6,194,105,3
R16,N,07/18/2025,7,792,501,3
R16,N,07/18/2025,8,754,451,3
R16,N,07/18/2025,9,807,490,3
R16,N,07/18/2025,10,503,391,3
R16,N,07/18/2025,11,534,409,4
R16,N,07/18/2025,12,478,387,3
R16,N,07/18/2025,13,505,380,3
R16,N,07/18/2025,14,531,381,4
R16,N,07/18/2025,15,518,436,3
R16,N,07/18/2025,16,517,365,3
R16,N,07/18/2025,17,450,805,3
R16,N,07/18/2025,18,435,819,3
R16,N,07/18/2025,19,524,769,3
R16,N,07/18/2025,20,156,160,3
R16,N,07/18/2025,21,118,138,3
R16,N,07/18/2025,22,139,158,3
R16,N,07/18/2025,23,175,100,3
R16,N,07/19/2025,0,116,135,3
R16,N,07/19/2025,1,131,157,4
R16,N,07/19/2025,2,156,114,2
R16,N,07/19/2025,3,157,164,3
R16,N,07/19/2025,4,159,138,3
R16,N,07/19/2025,5,204,107,3
R16,N,07/19/2025,6,137,150,5
R16,N,07/19/2025,7,779,474,4
R16,N,07/19/2025,8,795,506,4
R16,N,07/19/2025,9,761,472,2
R16,N,07/19/2025,10,544,419,3
R16,N,07/19/2025,11,515,409,3
R16,N,07/19/2025,12,467,381,3
R16,N,07/19/2025,13,513,402,3
R16,N,07/19/2025,14,512,379,3
R16,N,07/19/2025,15,510,414,3
R16,N,07/19/2025,16,495,425,3
R16,N,07/19/2025,17,460,839,3
R16,N,07/19/2025,18,530,839,4
R16,N,07/19/2025,19,458,775,3
R16,N,07/19/2025,20,204,161,3
R16,N,07/19/2025,21,206,133,3
R16,N,07/19/2025,22,115,141,3
R16,N,07/19/2025,23,111,156,3
R16,N,07/20/2025,0,192,93,3
R16,N,07/20/2025,1,110,104,2
R16,N,07/20/2025,2,174,119,2
R16,N,07/20/2025,3,202,106,3
R16,N,07/20/2025,4,110,135,3
R16,N,07/20/2025,5,137,146,3
R16,N,07/20/2025,6,144,121,3
R16,N,07/20/2025,7,813,486,5
R16,N,07/20/2025,8,770,485,3
R16,N,07/20/2025,9,754,452,3
R16,N,07/20/2025,10,544,426,3
R16,N,07/20/2025,11,549,428,4
R16,N,07/20/2025,12,508,401,3
R16,N,07/20/2025,13,489,362,3
R16,N,07/20/2025,14,550,424,3
R16,N,07/20/2025,15,455,414,2
R16,N,07/20/2025,16,456,411,3
R16,N,07/20/2025,17,449,839,2
R16,N,07/20/2025,18,479,804,4
R16,N,07/20/2025,19,484,836,5
R16,N,07/20/2025,20,161,124,3
R16,N,07/20/2025,21,183,118,3
R16,N,07/20/2025,22,208,150,5
R16,N,07/20/2025,23,116,99,2
R16,N,07/21/2025,0,133,162,3
R16,N,07/21/2025,1,196,94,4
R16,N,07/21/2025,2,197,145,3
R16,N,07/21/2025,3,164,130,2
R16,N,07/21/2025,4,202,140,3
R16,N,07/21/2025,5,163,165,3
R16,N,07/21/2025,6,203,110,3
R16,N,07/21/2025,7,761,468,3
R16,N,07/21/2025,8,817,476,3
R16,N,07/21/2025,9,759,509,3
R16,N,07/21/2025,10,541,382,3
R16,N,07/21/2025,11,454,386,4
R16,N,07/21/2025,12,474,383,3
R16,N,07/21/2025,13,471,416,3
R16,N,07/21/2025,14,490,396,3
R16,N,07/21/2025,15,455,436,2
R16,N,07/21/2025,16,483,370,3
R16,N,07/21/2025,17,438,808,3
R16,N,07/21/2025,18,449,832,3
R16,N,07/21/2025,19,507,762,3
R16,N,07/21/2025,20,139,140,3
R16,N,07/21/2025,21,186,138,4
R16,N,07/21/2025,22,122,134,3
R16,N,07/21/2025,23,132,121,3
R16,N,07/22/2025,0,121,102,2
R16,N,07/22/2025,1,129,100,2
R16,N,07/22/2025,2,209,125,3
R16,N,07/22/2025,3,120,112,2
R16,N,07/22/2025,4,149,163,4
R16,N,07/22/2025,5,146,114,3
R16,N,07/22/2025,6,194,110,3
R16,N,07/22/2025,7,850,493,4
R16,N,07/22/2025,8,799,451,2
R16,N,07/22/2025,9,751,455,5
R16,N,07/22/2025,10,491,434,3
R16,N,07/22/2025,11,511,398,4
R16,N,07/22/2025,12,546,417,3
R16,N,07/22/2025,13,544,415,3
R16,N,07/22/2025,14,507,388,4
R16,N,07/22/2025,15,542,440,3
R16,N,07/22/2025,16,517,428,3
R16,N,07/22/2025,17,489,822,4
R16,N,07/22/2025,18,496,774,3
R16,N,07/22/2025,19,465,771,3
R16,N,07/22/2025,20,114,93,2
R16,N,07/22/2025,21,186,130,3
R16,N,07/22/2025,22,177,121,3
R16,N,07/22/2025,23,193,137,3
R16,N,07/23/2025,0,135,133,3
R16,N,07/23/2025,1,176,156,3
R16,N,07/23/2025,2,113,135,3
R16,N,07/23/2025,3,181,117,3
R16,N,07/23/2025,4,181,120,3
R16,N,07/23/2025,5,201,166,3
R16,N,07/23/2025,6,206,115,3
R16,N,07/23/2025,7,797,515,4
R16,N,07/23/2025,8,788,464,3
R16,N,07/23/2025,9,833,509,4
R16,N,07/23/2025,10,468,398,3
R16,N,07/23/2025,11,470,437,3
R16,N,07/23/2025,12,458,391,3
R16,N,07/23/2025,13,524,383,4
R16,N,07/23/2025,14,458,379,3
R16,N,07/23/2025,15,457,405,3
R16,N,07/23/2025,16,496,368,2
R16,N,07/23/2025,17,441,838,3
R16,N,07/23/2025,18,474,779,3
R16,N,07/23/2025,19,478,787,3
R16,N,07/23/2025,20,155,95,3
R16,N,07/23/2025,21,184,116,3
R16,N,07/23/2025,22,201,134,3
R16,N,07/23/2025,23,196,139,3
R16,N,07/24/2025,0,121,156,3
R16,N,07/24/2025,1,205,106,5
R16,N,07/24/2025,2,173,156,5
R16,N,07/24/2025,3,142,118,4
R16,N,07/24/2025,4,202,124,5
R16,N,07/24/2025,5,159,119,3
R16,N,07/24/2025,6,141,119,3
R16,N,07/24/2025,7,761,479,3
R16,N,07/24/2025,8,770,513,3
R16,N,07/24/2025,9,821,507,3
R16,N,07/24/2025,10,460,367,4
R16,N,07/24/2025,11,507,413,4
R16,N,07/24/2025,12,500,431,4
R16,N,07/24/2025,13,462,379,3
R16,N,07/24/2025,14,525,403,3
R16,N,07/24/2025,15,478,419,3
R16,N,07/24/2025,16,537,407,3
R16,N,07/24/2025,17,484,795,2
R16,N,07/24/2025,18,483,807,3
R16,N,07/24/2025,19,435,839,3
R16,N,07/24/2025,20,179,167,3
R16,N,07/24/2025,21,188,164,3
R16,N,07/24/2025,22,115,88,2
R16,N,07/24/2025,23,113,96,2
R16,N,07/25/2025,0,146,129,3
R16,N,07/25/2025,1,117,132,3
R16,N,07/25/2025,2,119,148,3
R16,N,07/25/2025,3,174,158,5
R16,N,07/25/2025,4,110,149,2
R16,N,07/25/2025,5,176,168,3
R16,N,07/25/2025,6,158,123,3
R16,N,07/25/2025,7,804,503,4
R16,N,07/25/2025,8,813,484,3
R16,N,07/25/2025,9,815,481,3
R16,N,07/25/2025,10,514,406,3
R16,N,07/25/2025,11,522,390,3
R16,N,07/25/2025,12,477,364,3
R16,N,07/25/2025,13,489,381,2
R16,N,07/25/2025,14,507,378,3
R16,N,07/25/2025,15,522,417,3
R16,N,07/25/2025,16,471,375,3
R16,N,07/25/2025,17,467,764,4
R16,N,07/25/2025,18,475,761,3
R16,N,07/25/2025,19,492,764,3
R16,N,07/25/2025,20,121,117,3
R16,N,07/25/2025,21,141,142,3
R16,N,07/25/2025,22,128,132,2
R16,N,07/25/2025,23,135,166,5
R16,N,07/26/2025,0,130,106,2
R16,N,07/26/2025,1,178,156,3
R16,N,07/26/2025,2,203,96,3
R16,N,07/26/2025,3,122,100,2
R16,N,07/26/2025,4,147,105,5
R16,N,07/26/2025,5,120,119,2
R16,N,07/26/2025,6,165,112,2
R16,N,07/26/2025,7,827,508,4
R16,N,07/26/2025,8,822,482,4
R16,N,07/26/2025,9,776,448,5
R16,N,07/26/2025,10,530,424,3
R16,N,07/26/2025,11,466,397,3
R16,N,07/26/2025,12,501,403,3
R16,N,07/26/2025,13,469,428,5
R16,N,07/26/2025,14,543,390,3
R16,N,07/26/2025,15,536,405,3
R16,N,07/26/2025,16,477,402,3
R16,N,07/26/2025,17,439,780,4
R16,N,07/26/2025,18,473,773,3
R16,N,07/26/2025,19,443,798,3
R16,N,07/26/2025,20,139,100,2
R16,N,07/26/2025,21,121,130,3
R16,N,07/26/2025,22,145,101,4
R16,N,07/26/2025,23,128,92,2
R16,N,07/27/2025,0,138,106,3
R16,N,07/27/2025,1,148,144,3
R16,N,07/27/2025,2,185,163,3
R16,N,07/27/2025,3,132,166,3
R16,N,07/27/2025,4,184,137,3
R16,N,07/27/2025,5,132,136,3
R16,N,07/27/2025,6,204,159,3
R16,N,07/27/2025,7,843,514,4
R16,N,07/27/2025,8,845,498,4
R16,N,07/27/2025,9,837,444,5
R16,N,07/27/2025,10,482,400,2
R16,N,07/27/2025,11,536,374,3
R16,N,07/27/2025,12,470,374,3
R16,N,07/27/2025,13,501,379,3
R16,N,07/27/2025,14,537,382,3
R16,N,07/27/2025,15,517,424,3
R16,N,07/27/2025,16,545,387,3
R16,N,07/27/2025,17,473,782,3
R16,N,07/27/2025,18,465,801,3
R16,N,07/27/2025,19,503,775,2
R16,N,07/27/2025,20,122,143,3
R16,N,07/27/2025,21,123,164,3
R16,N,07/27/2025,22,131,160,3
